DATE,Year,Month,households,subsidies,urban_popln,const_price,new_const_units,income,interest_rate,gdp,unemployment_rate,home_prices
1940-01-01,1940,1.0,34949,,,,,,,,,
1941-01-01,1941,1.0,.,,,,,,,,,
1942-01-01,1942,1.0,.,,,,,,,,,
1943-01-01,1943,1.0,.,,,,,,,,,
1944-01-01,1944,1.0,.,,,,,,,,,
1945-01-01,1945,1.0,.,,,,,,,,,
1946-01-01,1946,1.0,.,,,,,,,,,
1947-01-01,1947,1.0,39107,,,,,,,,,
1948-01-01,1948,1.0,40532,,,,,,,,,
1949-01-01,1949,1.0,42182,,,,,,,,,
1950-01-01,1950,1.0,43554,,,,,,,,,
1951-01-01,1951,1.0,44673,,,,,,,,,
1952-01-01,1952,1.0,45538,,,,,,,,,
1953-01-01,1953,1.0,46385,,,,,,,,,
1954-01-01,1954,1.0,46962,,,,,,,,,
1955-01-01,1955,1.0,47874,,,,,,,,,
1956-01-01,1956,1.0,48902,,,,,,,,,
1957-01-01,1957,1.0,49673,,,,,,,,,
1958-01-01,1958,1.0,50474,,,,,,,,,
1959-01-01,1959,1.0,51435,,,,,,,,,
1960-01-01,1960,1.0,52799,,,,,,,,,
1961-01-01,1961,1.0,53557,,,,,,,,,
1962-01-01,1962,1.0,54764,,,,,,,,,
1963-01-01,1963,1.0,55270,,,,,,,,,
1964-01-01,1964,1.0,56149,,,,,,,,,
1965-01-01,1965,1.0,57436,,,,,,,,,
1966-01-01,1966,1.0,58406,,,,,,,,,
1967-01-01,1967,1.0,59236,,,,,,,,,
1968-01-01,1968,1.0,60813,,,,,,,,,
1969-01-01,1969,1.0,62214,,,,,,,,,
1970-01-01,1970,1.0,63401,,,,,,,,,
1971-01-01,1971,1.0,64778,,,,,,,,,
1972-01-01,1972,1.0,66676,,,,,,,,,
1973-01-01,1973,1.0,68251,,,,,,,,,
1974-01-01,1974,1.0,69859,,,,,,,,,
1975-01-01,1975,1.0,71120,,,,,,,,,
1976-01-01,1976,1.0,72867,,,,,,,,,
1977-01-01,1977,1.0,74142,,,,,,,,,
1978-01-01,1978,1.0,76030,,,,,,,,,
1979-01-01,1979,1.0,77330,,,,,,,,,
1980-01-01,1980,1.0,80776,,,,,,,,,
1981-01-01,1981,1.0,82368,,,,,,,,,
1982-01-01,1982,1.0,83527,,,,,,,,,
1983-01-01,1983,1.0,83918,,,,,,,,,
1984-01-01,1984,1.0,85290,,,,,,,,,
1985-01-01,1985,1.0,86789,,,,,,,,,
1986-01-01,1986,1.0,88458,,,,,,,,,
1987-01-01,1987,1.0,89479,,,,,,,,,
1988-01-01,1988,1.0,91124,,,,,,,,,
1989-01-01,1989,1.0,92830,,,,,,,,,
1990-01-01,1990,1.0,93347,,,,,,,,,
1991-01-01,1991,1.0,94312,,,,,,,,,
1992-01-01,1992,1.0,95669,,,,,,,,,
1993-01-01,1993,1.0,96426,,,,,,,,,
1994-01-01,1994,1.0,97107,,,,,,,,,
1995-01-01,1995,1.0,98990,,,,,,,,,
1996-01-01,1996,1.0,99627,,,,,,,,,
1997-01-01,1997,1.0,101018,,,,,,,,,
1998-01-01,1998,1.0,102528,,,,,,,,,
1999-01-01,1999,1.0,103874,,,,,,,,,
2000-01-01,2000,1.0,104705,,,,,,,,,
2001-01-01,2001,1.0,108209,,,,,,,,,
2002-01-01,2002,1.0,109297,,,,,,,,,
2003-01-01,2003,1.0,111278,,,,,,,,,
2004-01-01,2004,1.0,112000,,,,,,,,,
2005-01-01,2005,1.0,113343,,,,,,,,,
2006-01-01,2006,1.0,114384,,,,,,,,,
2007-01-01,2007,1.0,116011,,,,,,,,,
2008-01-01,2008,1.0,116783,,,,,,,,,
