Year,Month,households,subsidies,urban_popln,const_price,new_const_units,income,interest_rate,gdp,unemployment_rate,home_prices
1940,1,34949,0.159,72.247,23.2,1257,2399.7,1.22,15137,4.0,67.73899999999999
1941,1,39107,0.159,72.612,23.2,1074,2353.8,0.68,15204,4.0,67.73899999999999
1942,1,40532,0.176,71.508,22.9,1281,2399.7,1.15,15137,3.9,68.506
1943,1,40532,0.195,71.879,23.2,1302,2370.8,1.15,15204,3.9,68.506
1944,1,40532,0.195,71.879,22.5,1274,2399.7,1.15,15250,4.0,68.107
1945,1,42182,0.21,71.508,24.3,1328,2353.8,1.3,15204,3.8,67.33
1946,1,34949,0.195,71.134,23.7,1337,2370.8,1.01,15248,6.5,66.507
1947,1,39107,0.159,71.134,23.2,1257,2353.8,1.03,15248,3.8,68.107
1948,1,40532,0.159,70.377,25.5,1076,2325.4,0.77,15248,6.0,66.507
1949,1,42182,0.195,72.247,25.2,1061,2325.4,0.68,15371,4.2,67.33
1950,1,43554,0.146,70.377,26.8,1272,2399.7,0.98,15977,6.0,67.73899999999999
1951,1,44673,0.234,71.879,29.5,1298,2370.8,1.15,17147,3.4,67.33
1952,1,45538,0.21,71.879,29.5,1328,2353.8,1.26,17584,3.0,68.506
1953,1,46385,0.159,72.247,29.6,1276,2399.7,1.0,18268,2.8,68.107
1954,1,46962,0.146,71.134,29.7,1337,2376.6,1.2,17960,6.0,67.73899999999999
1955,1,47874,0.176,72.612,30.7,1281,2353.8,1.26,18032,4.2,68.506
1956,1,48902,0.176,71.508,32.6,1281,2325.4,2.79,18808,4.4,69.263
1957,1,49673,0.21,72.247,32.6,1298,2399.7,2.68,18787,4.2,67.33
1958,1,50474,0.606,71.508,31.5,1348,2376.6,1.43,18155,6.7,65.563
1959,1,51435,0.176,71.879,32.8,1306,2376.6,2.98,19041,5.7,66.507
1960,1,52799,0.195,69.996,32.3,1348,2423.3,2.27,19390,6.7,66.938
1961,1,53557,0.159,70.757,32.5,1337,2509.1,2.47,19296,6.8,66.071
1962,1,54764,0.159,71.134,32.6,1347,2619.6,2.63,20521,5.7,67.33
1963,1,55270,0.327,70.377,33.1,1318,2672.3,3.5,20842,5.1,66.071
1964,1,56149,0.21,70.377,32.9,1367,2922.5,3.45,21219,5.5,66.938
1965,1,57436,0.234,71.134,33.2,1281,3027.8,3.88,22770,4.2,69.263
1966,1,58406,0.278,72.612,33.8,1300,3230.2,4.13,24172,4.0,68.506
1967,1,59236,0.159,71.879,34.5,1328,3417.4,4.94,24602,3.8,68.506
1968,1,60813,0.254,72.247,36.6,1328,3591.7,5.2,25813,3.5,67.33
1969,1,62214,0.42,73.633,39.2,1396,3705.6,7.36,25929,3.7,67.73899999999999
1970,1,63401,0.606,73.623,39.2,1438,3805.0,8.61,26181,4.6,68.107
1971,1,64778,0.944,73.643,40.1,1673,3959.8,3.99,26162,5.8,65.132
1972,1,66676,2.081,73.643,43.6,1995,4130.6,5.22,27690,5.6,66.507
1973,1,68251,2.639,73.643,47.3,2066,4411.9,8.96,28613,5.0,66.071
1974,1,69859,1.419,73.633,55.8,1944,4444.7,8.53,28270,5.2,66.507
1975,1,71120,2.081,73.663,60.1,1302,4475.0,5.02,28214,8.1,66.938
1976,1,72867,2.288,73.692,64.5,1258,4705.1,5.4,29469,8.5,65.563
1977,1,74142,2.639,73.682,72.9,1640,4861.2,5.54,30713,7.3,64.736
1978,1,76030,3.67,73.663,78.5,1865,5047.5,6.85,31982,6.7,65.563
1979,1,77330,3.059,73.663,86.9,1905,5159.3,10.51,32294,5.9,64.42399999999999
1980,1,80776,5.469,73.692,91.2,1793,5191.3,14.45,31990,6.4,63.965
1981,1,82368,11.096,74.042,98.6,1293,5264.4,15.93,32533,8.3,66.071
1982,1,83527,11.096,74.494,99.5,979,5399.5,13.82,31529,9.6,65.563
1983,1,83918,11.246,73.89,102.8,1187,5549.2,8.98,32340,9.2,65.132
1984,1,85290,11.506,74.644,106.4,1682,5962.5,10.24,34103,7.4,65.132
1985,1,86789,11.246,74.942,107.1,1722,6141.6,8.24,35582,7.2,64.736
1986,1,88458,12.743,74.942,107.2,1733,6296.4,8.67,36563,7.1,64.736
1987,1,89479,10.068,74.494,107.4,1772,6466.7,6.85,37685,6.8,64.736
1988,1,91124,11.246,74.942,114.2,1580,6730.2,6.58,38238,5.9,69.64
1989,1,92830,12.743,74.494,119.0,1407,7052.7,8.53,39694,5.2,75.086
1990,1,93347,12.743,75.3,119.8,1332,7181.9,8.35,39861,5.6,77.009
1991,1,94312,15.487,75.701,120.0,1270,7216.8,6.02,39648,6.8,76.012
1992,1,95669,15.487,74.942,122.6,1139,7507.2,3.85,40382,7.5,76.23899999999999
1993,1,96426,21.577,77.257,128.2,1200,7668.1,3.04,40942,7.4,77.243
1994,1,97107,21.577,75.701,132.4,1302,7905.0,3.62,42264,6.5,78.59100000000001
1995,1,98990,21.764,76.488,137.7,1361,8124.2,5.74,42885,5.7,80.59899999999999
1996,1,99627,24.183,77.636,138.2,1402,8464.7,5.54,44421,5.5,82.194
1997,1,101018,21.577,78.008,142.6,1442,8556.4,5.24,45616,5.1,84.86200000000001
1998,1,102528,21.577,79.057,141.6,1468,9202.0,5.56,45862,4.6,88.44200000000001
1999,1,103874,20.573,79.409,142.5,1673,9501.3,5.06,48148,4.3,95.344
2000,1,104705,19.69,79.234,142.2,1586,9799.9,5.91,48632,4.0,100.551
2001,1,108209,20.607,79.057,144.7,1574,10223.4,4.06,49783,4.6,111.109
2002,1,109297,24.183,79.928,144.4,1641,10514.7,1.82,50109,5.6,114.167
2003,1,111278,27.201,79.928,145.9,1688,10752.7,1.26,50796,5.9,130.884
2004,1,112000,27.201,80.269,150.2,1806,11048.4,1.04,53242,5.7,142.908
2005,1,113343,29.512,80.269,165.9,1892,11246.1,2.33,53719,5.4,168.338
2006,1,114384,25.93,80.099,182.6,2102,11746.9,4.65,55260,4.7,184.517
2007,1,116011,29.876,80.269,182.5,1794,11996.0,5.07,55454,4.7,182.798
2008,1,116783,32.883,80.944,187.8,1328,12137.1,2.98,55454,4.9,171.541
2009,1,117181,28.604,80.438,191.2,801,12292.0,0.13,53017,9.4,148.41
2010,1,117538,32.669,81.119,192.2,668,12361.5,0.2,53719,9.8,145.859
2011,1,119927,33.283,81.119,197.2,545,12605.1,0.14,54401,9.0,139.981
2012,1,121084,33.283,81.299,205.1,591,13116.5,0.1,55342,7.8,142.908
2013,1,122459,33.283,81.299,209.3,736,12941.8,0.14,56642,7.7,154.179
2014,1,123229,33.213,81.483,211.3,781,13116.5,0.09,56272,6.9,160.07399999999998
2015,1,124587,34.859,81.862,211.6,975,13874.1,0.13,58376,5.4,172.13299999999998
2016,1,125819,37.55,81.483,212.7,1059,14095.5,0.37,59084,5.0,177.649
2017,1,126224,35.771,81.862,217.3,1069,14416.8,0.79,59084,5.0,188.724
2018,1,127586,38.859,81.671,225.8,1135,15057.8,1.51,60099,3.9,199.227
2019,1,128579,35.771,82.459,233.8,1135,15684.8,1.7,61336,4.2,208.138
2020,1,128451,48.021,82.873,233.4,945,16229.6,0.19,62333,7.4,216.987
2021,1,129224,40.185,82.459,256.4,1258,16607.9,1.51,65651,5.0,242.325
2022,1,131202,44.147,83.084,328.94,1558,16601.9,3.99,65783,3.7,296.353
2023,1,131434,38.859,82.664,329.69,1609,16819.1,4.59,67039,3.7,297.464
1960,1,52799,0.146,71.879,32.7,1337,2425.5,2.75,19390,5.5,67.73899999999999
1961,1,55270,0.159,70.757,32.8,1353,2509.1,2.6,19395,6.0,66.938
1962,1,52799,0.176,70.757,32.8,1290,2608.1,2.95,20366,5.2,67.73899999999999
1963,1,54764,0.195,70.377,32.3,1353,2718.6,2.4,20677,5.9,67.33
1964,1,57436,0.21,71.508,32.6,1331,2882.1,3.0,21276,5.4,67.33
1965,1,56149,0.234,72.612,32.9,1298,3014.5,3.65,22547,4.4,67.73899999999999
1966,1,56149,0.254,71.879,34.4,1298,3230.2,3.71,24446,3.8,68.107
1967,1,57436,0.278,72.974,34.5,1302,3391.3,4.94,24446,3.9,69.263
1968,1,62214,0.327,72.612,36.6,1374,3581.3,5.54,25781,3.5,68.107
1969,1,60813,0.42,73.613,38.7,1371,3618.3,7.95,26079,3.6,68.107
1970,1,60813,0.606,73.623,39.2,1438,3838.2,8.67,25929,4.5,67.33
1971,1,64778,0.944,73.613,42.0,1944,4043.3,3.94,26181,5.9,64.42399999999999
1972,1,68251,1.419,73.653,43.6,2103,4115.2,4.33,28055,5.6,66.938
1973,1,63401,1.591,73.623,44.9,2258,4432.6,8.2,28606,4.9,66.938
1974,1,66676,2.081,73.623,50.6,1930,4484.4,9.56,28687,5.1,66.071
1975,1,72867,2.288,73.623,60.8,1271,4595.3,4.61,28613,8.8,66.071
1976,1,72867,2.639,73.682,64.5,1495,4673.8,5.55,29335,7.5,66.938
